################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.9068305163265968E+00 a       279     0    12     1     4
 -1.0228803281599934E+00 a       280     0    12     1     5
 -1.2046870471299478E+00 a       281     0    12     1     6
  1.5704701722066596E+00 a       282     0    12     1     7
  1.1994595535601593E+00 a       283     0    12     1     8
 -1.8263824778052575E+00 a       284     0    12     1     9
  3.0132840238978886E+00 a       285     0    12     1    10
  9.9906462633126270E-01 a       286     0    12     1    11
 -6.1707466215679734E+00 a       287     0    12     1    12
  1.2314709586864394E+00 a       288     0    12     1    13
  3.1343560670813337E+00 a       289     0    12     1    14
  6.2391181596065326E-01 a       290     0    12     1    15
 -1.9572772556312408E+00 a       291     0    12     1    16
 -1.0612804832409650E+00 a       292     0    12     1    17
 -1.4969147261479221E+00 a       293     0    12     1    18
  2.4258679567174108E+00 a       294     0    12     1    19
  2.0677986892506492E-01 a       295     0    12     1    20
  5.9094237249491921E-01 a       296     0    12     1    21
  1.9901852512004579E+00 a       297     0    12     1    22
  1.7905752254805436E+00 a       298     0    12     1    23
  1.0964964656411751E+00 a       299     0    12     1    24
  1.5896990167567571E+00 a       300     0    12     1    25
  4.5569279901988375E+00 a       301     0    13     1     1
 -2.9314746673166991E-01 a       302     0    13     1     2
 -4.5253503692812949E+00 a       303     0    13     1     3
 -2.5036933650794713E+00 a       304     0    13     1     4
 -1.5649480023945634E+00 a       305     0    13     1     5
  3.1563231805078749E+00 a       306     0    13     1     6
 -3.4785267154241947E-02 a       307     0    13     1     7
  1.0091994402091451E+00 a       308     0    13     1     8
 -1.6441240979971272E+00 a       309     0    13     1     9
  6.0766347668299607E+00 a       310     0    13     1    10
 -5.2573835147705250E-01 a       311     0    13     1    11
 -1.6363833648356282E-01 a       312     0    13     1    12
  2.1370768344489180E-01 a       313     0    13     1    13
 -1.1770313338456855E+00 a       314     0    13     1    14
 -9.6412660375644788E-01 a       315     0    13     1    15
 -1.5745276019643444E+00 a       316     0    13     1    16
 -3.0176113798849511E+00 a       317     0    13     1    17
  1.7638745827024336E+00 a       318     0    13     1    18
 -1.4949386029522973E+00 a       319     0    13     1    19
  2.5122803018664692E+00 a       320     0    13     1    20
 -7.5008151719524463E-01 a       321     0    13     1    21
  6.1309847370412243E+00 a       322     0    13     1    22
  3.4416868574582731E+00 a       323     0    13     1    23
 -3.3349788026398337E+00 a       324     0    13     1    24
  7.4999501075487962E-01 a       325     0    13     1    25
  3.6633358243950433E+00 a       326     0    14     1     1
 -7.6597524250787563E-01 a       327     0    14     1     2
 -2.3618593980080398E+00 a       328     0    14     1     3
 -3.9068085235446932E+00 a       329     0    14     1     4
  3.0459855515466949E-01 a       330     0    14     1     5
 -1.8696027953559222E+00 a       331     0    14     1     6
 -1.9477353367847421E+00 a       332     0    14     1     7
  2.2355166665248150E+00 a       333     0    14     1     8
  3.6947374291237423E-01 a       334     0    14     1     9
 -2.3580286157167376E+00 a       335     0    14     1    10
  8.6550960405930510E-01 a       336     0    14     1    11
  2.1833685504715055E+00 a       337     0    14     1    12
  6.2844291746681447E-01 a       338     0    14     1    13
  1.7435980208167094E+00 a       339     0    14     1    14
  1.4572049713772635E+00 a       340     0    14     1    15
 -3.2931420640347564E-01 a       341     0    14     1    16
  9.3081251515234931E-01 a       342     0    14     1    17
 -2.8052988026636445E+00 a       343     0    14     1    18
 -4.4038265373123325E-01 a       344     0    14     1    19
 -1.4235819887401560E+00 a       345     0    14     1    20
  2.7682350718207198E+00 a       346     0    14     1    21
  3.8083616889252987E+00 a       347     0    14     1    22
  4.3977288165327960E-01 a       348     0    14     1    23
  1.9900152669493374E+00 a       349     0    14     1    24
  1.0494617824546064E+00 a       350     0    14     1    25
  1.8901021730985153E+01 a       351     0    15     1     1
 -1.4824337201929800E+00 a       352     0    15     1     2
 -2.8195452445863456E+00 a       353     0    15     1     3
 -5.3415172509245572E+00 a       354     0    15     1     4
  4.8890648007641918E-01 a       355     0    15     1     5
 -4.9406225233800329E+00 a       356     0    15     1     6
 -2.5646124439221194E+00 a       357     0    15     1     7
 -3.1242240137506978E+00 a       358     0    15     1     8
 -4.8267954977822605E+00 a       359     0    15     1     9
 -7.5974719046338479E-01 a       360     0    15     1    10
 -1.9884291445276843E+00 a       361     0    15     1    11
 -2.1552283393814140E+01 a       362     0    15     1    12
 -2.4456487932333122E+00 a       363     0    15     1    13
  9.0630885013690410E+00 a       364     0    15     1    14
 -5.9343310701044127E-01 a       365     0    15     1    15
 -2.2998491475633998E+00 a       366     0    15     1    16
  5.0878200304886905E+00 a       367     0    15     1    17
 -8.3056256456382407E+00 a       368     0    15     1    18
  1.6608545982099773E-01 a       369     0    15     1    19
 -1.7219705986881487E-01 a       370     0    15     1    20
  1.0324821368841013E+00 a       371     0    15     1    21
  6.2062543799811971E+00 a       372     0    15     1    22
 -6.4842929987998179E+00 a       373     0    15     1    23
 -3.3867456419058817E-01 a       374     0    15     1    24
  7.2710783538886261E+00 a       375     0    15     1    25
 -1.1622515749232200E+01 a       376     0    16     1     1
  1.4141087676071364E+00 a       377     0    16     1     2
  6.7324896509263050E+00 a       378     0    16     1     3
  3.6161404033701161E+00 a       379     0    16     1     4
  1.4439821651125709E-01 a       380     0    16     1     5
  1.3453582396963908E+00 a       381     0    16     1     6
  3.3668174419158654E+00 a       382     0    16     1     7
  1.1277673614926453E+00 a       383     0    16     1     8
  2.6514802044649239E+00 a       384     0    16     1     9
 -1.9259550613499861E+00 a       385     0    16     1    10
  1.1791115400087002E+00 a       386     0    16     1    11
  6.0684737668452513E+00 a       387     0    16     1    12
  6.9648927289880280E-01 a       388     0    16     1    13
 -2.2935599992727620E+00 a       389     0    16     1    14
  3.9404550775878380E+00 a       390     0    16     1    15
  8.9115699201064957E-01 a       391     0    16     1    16
 -1.8027937751717980E+00 a       392     0    16     1    17
  2.7188071674331957E+00 a       393     0    16     1    18
  4.4435227125130938E-01 a       394     0    16     1    19
 -2.2322920721180530E+00 a       395     0    16     1    20
 -1.0392620260122174E+00 a       396     0    16     1    21
 -5.0119889967690039E+00 a       397     0    16     1    22
  1.4161489699397005E+00 a       398     0    16     1    23
  3.5333937971269491E+00 a       399     0    16     1    24
