################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         10   0.0000000000000000E+00   3.7838328305690925E+00   1.6879322243784218E+00   4.4831716342955658E-01
         2         11   0.0000000000000000E+00   2.9064386193518441E+00   1.2260628599079801E+00   3.3014414843553391E-01
         2         12   4.2849531659142537E-01   1.8144549008476190E+00   1.1244185247338472E+00   1.0631549676781556E-01
         2         13   1.1535913362558878E+00   5.5737329785160057E+00   3.2780446646450305E+00   4.4500384578908142E-01
         2         14   0.0000000000000000E+00   1.8468399080884306E+00   6.7168286719296577E-01   1.8910328660495779E-01
         2         15   1.4410445424338084E-01   5.0338325614981561E-01   3.4535923692325776E-01   1.9657408604726659E-02
         2         16   7.8244887570957888E-01   3.2794169456278652E+00   2.0333770385488164E+00   1.8575832767212733E-01
         2         17   1.8513575373344714E-02   7.2739991048832914E-02   4.8538313855508990E-02   3.1768213876253093E-03
         2         18   5.1661315757129955E-01   1.7902906704831629E+00   1.2249179518936959E+00   7.2364795611513849E-02
         2         19   0.0000000000000000E+00   3.3666495390480793E+00   7.3472442388598447E-01   2.8378123913743691E-01
         2         20   0.0000000000000000E+00   7.3093718530875362E-01   3.4901008519722894E-02   2.3119176862111717E-02
         2         21   0.0000000000000000E+00   2.5516545021071984E+01   8.9855929352524715E+00   2.8643912631572785E+00
         2         22   0.0000000000000000E+00   2.6902298032807712E+00   5.6904483561773034E-01   2.7703395182479984E-01
         2         23   4.3746522143816696E-01   1.9377460822676319E+01   6.4632625362475888E+00   1.9198694737986473E+00
         2         24   4.8106576893069419E-01   3.4198096565715588E+01   1.1089398340052194E+01   3.8463568069339473E+00
         2         25   1.4702671946849019E-01   1.0655207311126363E+01   3.6569265803417084E+00   1.0281662493957267E+00
         2         26   1.4771308848203865E-01   2.5603276428455683E+01   8.2830623841463176E+00   2.9371224328929131E+00
         2         27   5.5443310779184504E-02   6.9335535015737291E+00   2.3738980302920516E+00   6.7018911067804166E-01
         2         28   4.5355870066169694E-02   2.0677567066286564E+01   6.7597549782901059E+00   2.3813414128615586E+00
